English,Hindi
counter clockwise,वामावर्त अपसव्य
counter example,प्रत्युदाहरण
covariance,सहप्रसरण
covariance law,सहप्रसरण नियम
covariance matrix,सहप्रसरण आव्यूह
covariance method,सहप्रसरण विधि
covariance technique,सहप्रसरण विधि
Cramer's rule,क्रैमर-नियम
Cramer-Rao inequality,क्रैमर-राव असमिका
criterion function (=objective function),उद्देश्य फलन
critical angle,क्रांतिक कोण
critical point,क्रांतिक बिंदु
critical point of function,फलन का क्रांतिक बिंदु
critical value,क्रांतिक मान
critical velocity,क्रांतिक वेग
cross correlation function,व्यतिसहसंबंध फलन
cross product,"वेक्टर-गुणनफल, सदिश गुणनफल"
cross ratio,वज्रानुपात
cross sectioning,अनुप्रस्थ परिच्छेदन
crypt,गूढ़लेख
cube,"घन, क्यूब"
cube number,घन संख्या
cube root,घनमूल
cubic," घन, घनाकृति, घनीय, त्रिघात , त्रिसमलंबाक्ष, घनीय"
cubical,"घन, घनाकृति, घनीय"
cubic equation,त्रिघात समीकरण
cubic inch,घन इंच
cubic metre,घन मीटर
cubic parabola,त्रिघात परवलय
cubic root,घनमूल
cubic term,त्रिघाती पद
cuboid,लंबकोणिक समांतर
cumulative,"संचयी संकलित,"
cumulative curve,संचयी वक्र
cumulative distribution function,संचयी बंटन फलन
cumulative frequency,संचयी बारंबारता
cumulative frequency function,संचयी बारंबारता फलन
cumulative frequency graph,"संचयी बारंबारता आलेख, संचयी बारंबारता ग्राफ"
cumulative probability function,संचयी प्रायिकता फलन
curl,"कर्ल, कुंतल"
curl of the congruence,द्विप्राचल वक्र-कुल का कर्ल
curl of the vector,सदिश का कर्ल
curly bracket,"धनुःकोष्ठक, धनुर्बधनी"
current,धारा
current point,चलित बिंदु
curvature,वक्रता
curvature effect,वक्रता-प्रभाव
curve,वक्र
curved line,वक्र रेखा
curve tracing,वक्र अनुरेखण
curvilinear asymptote,वक्रेखी अनंतस्पर्शी
curvilinear coordinates,वक्रेखी निर्देशांक
curvilinear regression,वक्रेखी समाश्रयण
cusp,"उभयाग्र, कस्प"
cycle,"चक्र, आवर्तन , साइकिल , ढलाई चक्र, संचन चक्र"
cyclical variation,चक्रीय विचरण
cyclic cross product,चक्रीय सदिश गुणनफल
cyclic demand,चक्रीय मांग
cyclic expression,चक्रीय व्यंजक
cyclic group,चक्रीय समूह
cyclic permutation,चकीय क्रमचय
cycloid,"चक्रज, साइक्लोइड"
cylinder,"बेलन, सिलिन्डर"
cylindrical,"बेलनाकार, सिलिन्डराकार, बेलनी, सिलिन्डरी"
cylindrical surface,सिलिन्डराकार पृ्ष्ठ
cypher,"शून्य, सिफर"
D'alembert's principle,डिलंबर्ट-सिद्‌धांत
damped harmonic function,अवमंदित सरल आवर्त गति
damping constant,अवमंदन स्थिरांक
data," दत्त, उपात्त , आंकड़ा, न्यास"
data origination,दत्त उपक्रमण
data processing system,न्यास संसाधन प्रणाली
data processor,आंकड़ा संसाधित्र
data sheet,आंकड़ा पत्र
decagon,दशभुज
decagram,डेकाग्राम
decameter,डेकामीटर
decay constant,क्षयांक
decay curve,क्षय वक्र
decent function,शिष्ट फलन
decigram,डेसीग्राम
decile,दशमक
decimal,"दशमलव, दशमिक"
decimal code,दशमिक कोड
decimal coded digit,दशमलव कोडित अंक
decimal expansion,दशमिक प्रसार
decimal fraction,दशमलव भिन्न
decimal notation,दशमलव संकेतन पद्‌धति
decimal numbering system,दशमलव अंकन पद्‌धति
decimal point,दशमलव बिंदु
decimal scale,दशमलव मापक्रम
decimal system,दशमलव पद्‌धति
decimeter,डेसीमीटर
deciphering,कूटवाचन
decision model,निर्णय निदर्श
decision theory,निर्णय सिद्‌धांत
decision variable,निर्णय चर
decoder,"कूटवाचक, विकोडक"
decoding,"कूटवाचन, विकोडन"
decomposable set,वियोज्य समुच्चय
decreasing,ह्रासमान
decreasing function,ह्रासमान फलन
Dedekind's cut,डेडेकिन्ड-कट
Dedekind's theorem,डेडेकिन्ड-प्रमेय
deduce,निगमन करना
deductive method,निगमनिक रीति
defective,सदोष
defining equation,परिभाषी समीकरण
definite integral,निश्चित समाकल
definite matrix,निश्चित मैट्रिक्स
definition," परिभाषा , स्पष्टता , निश्चय"
deformation curve,विरूपण वक्र
deformed surface,विकृत पृष्ठ
degeneracy,"अपभ्रष्टता, अपह्रास"
degeneracy in transporation problems,परिवहन समस्याओं में अपभ्रष्टता
degree," डिग्री, अंश , घात , कोटि , मात्रा, परिमाण , अंशांक"
degree of differential equation,अवकल समीकरण का घात
degree of freedom,"स्वतंत्रता की कोटि, स्वातंत्र्य कोटि"
degree of polynomial,बहुपद का घात
deleted neighbourhood,निष्कासित प्रतिवेश
delta function,डेल्टा फलन
demand and utility curve,मांग और उपयोगिता वक्र
demand equation,मांग समीकरण
demand function,मांग फलन
demographic study,जनसांख्यिकीय अध्ययन
demography,जनसांख्यिकी
De Moivre’s theorem,द-मॉयवर प्रमेय
demonstrate," निरूपण करना , प्रमाण देना , निदर्शन करना"
demonstration," निरूपण , प्रमाण , निदर्शन, प्रदर्शन"
demonstrative geometry,निरूपणात्मक ज्यामिति
denominator,हर
dense set,सघन समुच्चय
density," घनत्व , सघनता"
denumerable set,प्रगणनीय समुच्चय
departing variables,अपगामी अचर
dependent event,आश्रित घटना
dependent random variable,आश्रित यादृच्छिक चर
dependent variable,परतंत्र चर
dependent variate,परतंत्र विचर
depression angle,अवनमन कोण
derivation," व्युत्पत्ति, व्युत्पन्न , अवकलन"
derivative," व्युत्पन्न , अवकलज"
derived series,व्युत्पन्न श्रेणी
derived set,व्युत्पन्न समुच्चय
descending,"अवरोही, अवरोहण"
descending order,अवरोही क्रम
descending series,अवरोही श्रेणी
descriptive geometry,प्रक्षेपात्मक ज्यामिति
descriptive model,वर्णनात्मक निदर्श
descriptive statistics,वर्णनात्मक सांख्यिकी
design,"अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)"
design of experiment,प्रयोग की अभिकल्पना
desk calculator,डेस्क परिकलित्र
detection,"पहचान, संसूचन"
determinant," सारणिक, डिटर्मिनेंट , निर्धारक"
determinant rank,सारणिक कोटि
determine,निर्धारित करना
deterministic model,निर्धारणात्मक निदर्श
deterministic problem,निर्धारणात्मक समस्या
deviation,विचलन
deviation coefficient,विचलन गुणांक
diadic system,द्वि-आधारी प्रणाली
diagonal,"विकर्ण कर्ण,"
diagonalization of a matrix,आव्यूह-विकर्णन
diagonal matrix,"विकर्ण मैट्रिक्स, विकर्ण आव्यूह"
diagonal similarity,विकर्णी समानता
diagram,आरेख
diagrammatic method,आरेखी विधि
diagrammatic presentation,आरेखी प्रस्तुतिकरण
diameter,व्यास
diameter of a set,समुच्चय-व्यास
diametrically opposite,व्यासतः सम्मुख
dice throw,"पाशकक्षेप, पासा फेंकना"
dichotomous classification,द्विधा वर्गीकरण
dichotomy," द्विभाजन , अर्धक"
dictionary order,कोशक्रम
difference calculus,अंतर कलन
difference equation,अंतर समीकरण
difference formula,अंतर सूत्र
difference method,अंतर विधि
difference of sets,समुच्चयों का अंतर
differentiable,अवकलनीय
differentiable curve,अवकलनीय वक्र
differentiable function,अवकलनीय फलन
differential," विभेदक, भेददर्शी , अवकल , अंतरात्रयी, अंतरात्मक , विभेदी"
differential calculus,अवकल गणित
differential coefficient,अवकल गुणांक
differential equation,अवकल समीकरण
differential form,अवकल समघात
differential formula,अवकल सूत्र
differential function,अवकल फलन
differential geometry,अवकल ज्यामिति
differential of higher order,उच्चतर कोटि का अवकल
differential quotient,अवकल खंड
differentiate,अवकलन करना
differentiation,"विभेदन, अवकलन"
differentiation formula,अवकलन सूत्र
differentiation of vector,सदिश का अवकलन
diffusion,"विसरण, विसार"
digit,"अंक, व्यास का द्वादशांश, अंगुलि"
digital computer,अंकीय अभिकलित्र
digital data,अंकीय दत्त
dimension," विस्तार, लंबाई-चौड़ाई, विमा , घात"
dimensionality,विमीयता
dimensionless,"विमाहीन, अविम"
dimension of an equation,समीकरण विमा
diophantine equation,डायोफैन्टस का समीकरण
dip angle,नति कोण
dipolar coordinates,द्वियुग्मध्रुवी निर्देशांक
dipole,द्विध्रुव
dipyramid (bipyramid),द्विपिरामिड
Dirac delta function,डिरैक डेल्टा फलन
direct common tangent,उभयनिष्ठ अनुस्पर्श रेखा
directed angle,दिष्ट कोण
directed line,दिष्ट रेखा
directional derivative,दिक्-अवकलज
direction cosine,"दिक्कोज्या, दिक्-कोसाइन"
direction of maxima,उच्चिष्ठ की दिशा
direction of projection,प्रक्षेपण दिशा
direction ratio,दिक्-अनुपात
director circle,नियामक वृत्त
director sphere,नियामक गोला
direct product,अनुलोम गुणनफल
direct proof," प्रत्यक्ष प्रमाण , प्रत्यक्ष उपपत्ति"
direct proportion,अनुक्रमानुपात
directrix,नियता
direct sum,अनुलोम योगफल
disconncted sets,असंबद्‌ध समुच्चय
discontinuity," असांतत्य , असातत्य , भंग"
discontinuity of derivative,अवकलज का असांतत्य
discontinuity of the first kind,प्रथम प्रकार का असांतत्य
discontinuity of the second kind,द्वितीय प्रकार का असांतत्य
discontinuous distribution,असंतत वितरण
discontinuous function,असंतत फलन
discontinuous variate,असंतत विचर
discrete,विविक्त
discrete distribution,असंतत बंटन
discrete probability distribution,असंतत प्रायिकता बंटन
discrete random variable,असंतत यादृच्छिक चर
discrete sample space,असंतत प्रतिदर्श समष्टि
discrete set,विविक्त समुच्चय
discrete space,विविक्त समष्टि
discrete topology,विविक्त संस्थिति
discrete variate,असंतत विचर
discriminant,विविक्तकर
discriminatory analysis (=discriminant analysis),विविक्तकर विश्लेषण
disjoint,असंयुक्त
disjoint events,असंयुक्त घटना
disjoint sets,असंयुक्त समुच्चय
disjoint union,असंयुक्त सम्मिलन
disjunction," वियोजन , तर्क-संगत योग"
dispersion," परिक्षेपण , प्रकीर्णन"
dispersion chart,परिक्षेपण संचित्र
dispersion constant,परिक्षेपणांक
dispersion diagram,परिक्षेपण-आरेख
dispersion matrix (=covariance matrix),परिक्षेपण-मैट्रिक्स
displacement,विस्थापन
display,प्रदर्श
display unit (=consol),कन्सोल
dissimilar,"असमरूप, असमान"
dissipative forces,क्षयकारी बल
distance function,दूरी-फलन
distance modulus,दूरी-मापांक
distribution-free method,बंटन-निरपेक्ष
distributive law,"वितरण-नियम, बंटननियम"
diverge,"अपसारित करना, अपसारित होना"
divergence," अपसरण, अपसारिता , डाइवर्जेन्स"
divergence theorem,अपसरण प्रमेय
divergent,अपसारी
divergent series,अपसारी श्रेणी
divided difference,विभाजित अंतर
divisibility,"भाज्यता, विभाज्यता"
divisible,"भाज्य, विभाज्य"
division," भाग, प्रभाग , विभाजन"
division algorithm,विभाजन-कलन विधि
division ring,विभाजन-वलय
dodecagon,द्वादशभुज
dodecahedron,द्वादशफलक
domain," प्रक्षेत्र , डोमेन, प्रांत , प्रदेश"
domain of a function,फलन का प्रांत
domain of definition,परिभाषा-प्रांत
domain of existence,अस्तित्व-प्रांत
dominant strategy,अभिभावी युक्ति
doppler effect,डॉप्लर प्रभाव
dot product,"बिन्दु-गुणनफल, अदिशगुणनफल"
dotted curve,बिन्दुकित वक्र
double differentiation,द्विशः अवकलन
double exponential distribution,द्विक चरघातांकीय बंटन
double helix,द्विकुंडली
double integral,द्विशः समाकल
double integration,द्विशः समाकलन
double limit,द्विक सीमा
double sampling plan,द्विशः प्रतिचयन आयोजन
double sequence,द्विक अनुक्रम
double series,द्विक श्रेणी
double suffix notation,द्वि-अनुलग्नी संकेतन
double summation,द्विक संकलन
downward acceleration,अधोमुखी त्वरण
downward displacement,अधोमुखी विस्थापन
downward motion,अधोमुखी गति
downward velocity,अधोमुखी वेग
drag,कर्षण
drag force,कर्षण-बल
dual,"द्वैती द्वैती,"
dual basis,द्वैत आधार
dual inner product,द्वैत आंतरिक गुणनफल
dual linear programming problem,द्वैती रैखिक प्रोग्रामन समस्या
dual operation," द्वि प्रचालन , द्वैती संक्रिया"
dual problem,द्वैत समस्या
dual simplex algorithm,द्वैत एकल कलन-विधि
dual simplex technique,द्वैत एकल प्रविधि
dual space,द्वैत समष्टि
dual variable,द्वैत चर
dual vector space,द्वैत सदिश समष्टि
dummy index,मूक सूचकांक
dummy subscript,मूक पादांक
dummy suffix,मूक अनुबंध
dummy variable,मूक चर
duplicator process,अनुलिपि-प्रक्रम
dynamical,गतिकीय
dynamical system,गतिकीय तंत्र
dynamic demand function,गतिक मांग फलन
dynamic model,गत्यात्मक निदर्श
dynamic programming,गत्यात्मक प्रोग्रामन
dynamic programming approach,गतिशील प्रोग्रामन उपगमन
dynamic programming technique,गतिशील प्रोग्रामन प्रविधि
dynamics,"गतिविज्ञान, गतिकी"
dynamics of a particle,कण-गतिकी
dynamics of rigid bodies,दृढ़ पिंड गतिकी
earth," भू, पृथ्वी, भूमि , मत्तिृ का, मदृा , भू संपर्कित करना, भूसंपर्क करना (क्रि.)"
earthquake intensity,भूकंप तीव्रता
eccentricity,उत्केंद्रता
eclipse,ग्रहण
econometric forecast,अर्थमितीय पूर्वानुमान
econometrician,अर्थमितिज्ञ
econometrics,अर्थमिति
economics,अर्थशास्त्र
edge,"कोर, किनारा, अश्रि"
edge of a convex set,अवमुख समुच्चय कोर
efficiency factor,दक्षतांक
eigen element,अभिलक्षणिक अवयव
eigen function,अभिलक्षणिक फलन
eigen value,"आइगेन मान, अभिलक्षणिक मान"
eigen value equation,अभिलक्षणिक मान समीकरण
eigen vector,"आइगेन वेक्टर, अभिलक्षणिक सदिश"
elastic,प्रत्यास्थ
elastic constant,प्रत्यास्थतांक
elastic equilibrium,प्रत्यास्थ साम्यावस्था
elasticity,प्रत्यास्थता
elasticity surface,प्रत्यास्थता-पृष्ठ
electronic computer,"इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर"
element," तत्व , अल्पांश , अवयव"
elementary column operation,प्रारंभिक स्तंभ संक्रिया
elementary event,प्रारंभिक घटना
elementary function,प्रारंभिक फलन
elementary operation,प्रारंभिक संक्रिया
elementary outcome,प्रारंभिक परिणाम
elementary probability law,प्रारंभिक प्रायिकता नियम
elementary row operation,प्रारंभिक पंक्ति संक्रिया
eliminate,"विलुप्त करना, विलोपन करना,"
elemination procedure,निराकरण प्रक्रिया
ellipse,"दीर्घवृत्त, इलिप्स"
ellipsoid,दीर्घवृत्तज
ellipsoidal,दीर्घवृत्तजीय
ellipsoidal surface,दीर्घवृत्तजीय पृष्ठ
elliptical body,दीर्घवृत्ताकार पिंड
embedding,अंतःस्थापन
emission,उत्सर्जन
empirical data,आनुभविक न्यास
empirical formula,मूलानुपाती सूत्र
empirical probability,आनुभविक प्रायिकता
empirical relation,आऩुभविक संबंध
empty set,रिक्त समुच्चय
enclosed,परिबद्‌ध
encoding,"कूटलेखन, कोडन"
endomorphism,अंतराकारिता
end point,अंत्य बिंदु
end point of class interval,वर्गांतराल के अंत्य बिंदु
energy,ऊर्जा
energy momentum component,ऊर्जा-संवेग घटक
entering variable,प्रवेशी चर
enumerable set,गणनीय समुच्चय
enumeration,"गणन, गिनना"
equal,"समान, बराबर, सम, तुल्य"
equality,"समता, समिका"
equally likely,समप्रायिक
equal probability selection method (=epsem),सम प्रायिकता वरण विधि
equate,समान करना
equation," समीकरण , समीकार"
equation of first degree,एकघात समीकरण
equation of second degree,द्विघात समीकरण
equation of third degree,त्रिघात समीकरण
equator,"विषुवत वृत्त भूमध्यरेखा, इक्वेटर, मध्यरेखा"
equicontinuous,समसंतत
equilateral,समबाहु
equilibrium,"साम्यावस्था, साम्य, संतुलन"
equilibrium of forces,बल-संतुलन
equilibrium point,संतुलन बिंदु
equivalence,तुल्यता
equivalence class,तुल्यता-वर्ग
equivalence relation,तुल्यता-संबंध
equivalent,"तुल्य, तुल्यमान (वि.),तुल्यांक (सं.)"
equivalent matrix,तुल्य मैट्रिक्स
equivalent set,तुल्य समुच्चय
ergodicity,अभ्यतिप्रायता
error,"त्रुटि, भूल, गलती, अशुद्‌धि"
error analysis,त्रुटि-विश्लेषण
error code,त्रुटि कोड
error coefficient,त्रुटि गुणांक
error of mean square,वर्ग माध्य त्रुटि
error of the first kind,प्रथम प्रकार की त्रुटि
error of the second kind,द्वितीय प्रकार की त्रुटि
escape probability,पलायन-प्रायिकता
escape velocity,पलायन वेग
E. Schmidt's orthogonalization process,ई. श्मिट लांबिकीकरण प्रक्रम
escribed circle,बहिर्वृत्त
essential,"सारभूत, अनिवार्य"
essentially unique,वस्तुतः अद्वितीय
estimate,"आकलन करना, आकलित करना (क्रि.), आकलन (सं.)"
estimation method,आकलन विधि
Euclidean coordinate,यूक्लिडीय निर्देशांक
Euclidean domain,यूक्लिडीय डोमेन
Euclidean geometry,यूक्लिडीय ज्यामिति
Euclidean n-space,यूक्लिडीय n-समष्टि
Euclidean plane,यूक्लिडीय समतल
Euler's theorem,ऑयलर प्रमेय
evaluate,"मान निकालना, मूल्यांकन करना"
even,सम
even curve,सम वक्र
even function,सम फलन
even multiple,सम अपवर्त्य
even number,सम संख्या
even odd symmetry,सम-विषम सममिति
even permutation,सम क्रमचय
event,"घटना, अनुवृत्त"
even term,समपद
exact,"यथातथ, यथार्थ, बिल्कुल ठीक"
exact chi-square test,यथातथ काई-वर्ग परिक्षण
exact differential,यथातथ अवकल
exact equation,यथातथ समीकरण
example,उदाहरण
exchange,विनिमय
exhaustive event,निश्शेष घटना
existence axiom,अस्तित्व अभिगृहीत
existence probability(= a priori probability),अस्तित्व प्रायिकता
existence theorem,अस्तित्व प्रमेय
exogenous variable,बाह्य चर
expansion,"प्रसार, प्रसरण"
expectation function,प्रत्याशा फलन
expected frequency,प्रत्याशित बारंबारता
expected value,प्रत्याशित मान
experiment,प्रयोग
experimental error,"प्रायोगिक भूल, प्रायोगिक त्रुटि"
explanation,"व्याख्या, स्पष्टीकरण"
explicit equation,स्पष्ट समीकरण
explicit form,स्पष्ट रूप
explicit function,स्पष्ट फलन
explicit solution,स्पष्ट हल
exponent,घातांक
exponential curve,चरघातांकी वक्र
exponential density function,चरघातांकी प्रायिकता फलन
exponential distribution,चरघातांकी बंटन
exponential equation,चरघातांकी समीकरण
exponential function,चरघातांकी फलन
exponential growth,"एक्सपोनेन्टी वृद्‌धि, चरघातांकी वृद्‌धि"
exponential law,चरघातांकी नियम
exponential map,चरघातांकी प्रतिचित्र
exponential series,"एक्सपोनेन्टी श्रेणी, चरघातांकी श्रेणी"
expression," निष्पीडन , व्यंजक , मुखाकृति, भावकृति"
extended interval,विस्तरित अंतराल
extended real line,वर्धित वास्तविक रेखा
extended real number system,विस्तरित वास्तविक संख्या निकाय
extension of a mapping,प्रतिचित्रण विस्तार
exterior angle,बहिष्कोण
exterior area,बाह्य क्षेत्र
exterior point,बाह्य बिंदु
external,बाह्य
extrapolation of trend value,उपनति मान का बहिर्वेशन
extrapolation technique,बहिर्वेशन तकनीक
extremal value,चरम मान
extreme," अत्यंत , अंत , चरम, पराकाष्ठा"
extreme point,चरम बिंदु
extreme point of convex set,अवमुख समुच्चय का चरम बिंदु
extremum of a function,फलन का चरम मान
extremum property,चरम गुणधर्म
face," फलक, पार्श्व , अंताग्र"
face value,अंकित मूल्य
factor," घटक, उपादान, कारक , खंड,"
factor analysis,उपादान विश्लेषण
factored,खंडित
factorial,क्रमगुणित
factorial design,बहु-उपादानी अभिकल्पना
factorization,गुणनखंडन
factorise,गुणनखंड करना
fair game,न्याय्य खेल
FALSE,"आभासी, मिथ्या, कूट"
family," कुटुंब, परिवार , कुल, फैमिली"
family of circles,वृत्त-कुल
family curves,वक्र-कुल
family of functions,फलन-परिवार
family of lines,रेखा-कुल
facsimile,प्रतिकृति
F-distribution,F-बंटन
feasible basic solution,सुसंगत आधारी हल
feasible solution,सुसंगत हल
feed back,"पुनर्भरण, पुनर्निवेश"
Fermat principle,फ़र्मा का नियम
Fermat's theorem,फ़र्मा का प्रमेय
Fermi-Dirac statistics,फर्मी-डिरैक-सांख्यिकी
Fibonacci number,फिबोनाशी-संख्या
Fibonacci series,फिबोनाशी श्रेणी
field," क्षेत्र , क्षेत्रक , खेत , फील्ड"
final velocity,अंतिम वेग
finite," परिमित , सांत"
finite basis,परिमित आधार
finite decimal,परिमित दशमलव
finite difference,परिमित अंतर
finite difference method,परिमित अंतर विधि
finite dimensional,परिमितविमीय
finite dimensional vector space,परिमितविमीय सदिश
finite game,परिमित खेल
finite geometry,परिमित ज्यामिति
finite intersection,परिमित सर्वनिष्ठ
finite many,परिमितानेक
finite Markov chain,परिमित मार्कोव शृंखला
finiteness proof,परिमितता उपपत्ति
finite number,परिमित संख्या
finite population,परिमित समष्टि
finite probability,परिमित प्रायिकता
finite series,सांत श्रेणी
finite set,परिमित समुच्चय
finite velocity,परिमित वेग
finite volume,परिमित आयतन
fitting,"मिलाना, समंजन"
fitting of curve,वक्र समंजन
fitting of straight line,सरल रेखा समंजन
fixed point theorem,नियत बिंदु प्रमेय
fixed sample,नियत प्रतिदर्श
flight velocity,उड़ान वेग
floating point arithmetic,चल बिंदु परिकलन
floating point system,"चल बिंदु प्रणाली, चलबिंदु पद्‌धति"
flow chart,प्रवाह-संचित्र
flow velocity,प्रवाह-वेग
fluid dynamics,तरल-गतिकी
focal," नाभीय , संनाभि , फोकसी"
focal chord,नाभीय जीवा
focal distance,नाभीय दूरी
focal length,नाभीय लंबाई
focus," नाभि , फोकस , उद्‌गम"
foot," पद, पाद , फुट"
foot of perpendicular,लंबपाद
force of gravity,गुरुत्व-बल
forecasting,पूर्वानुमान
formula,सूत्र
formulate,सूत्रण
formulation," संरूपण , संरूप , सूत्रण"
forward difference,अग्रांतर
forward interpolation,अग्र अंतर्वेशन
foundation of mathematics,गणित का मूलाधार
Fourier's analysis,फूरिये-विश्लेषण
Fourier's series,फूरिये श्रेणी
Fourier's transform,फूरिये रूपांतर
fraction,भिन्न
fractional coordinate,भिन्नात्मक निर्देशांक
fractional number,भिन्नात्मक संख्या
fractional programming,भिन्नात्मक क्रमादेशन
free path,मुक्त पथ
free vector,"मुक्त सदिश, मुक्त वेक्टर"
frequency," आवत्तिृ , बारंबारता"
frequency column,बारंबारता स्तंभ
frequency curve,"बारंबारता वक्र, आवत्तिृ वक्र"
frequency distribution,बारंबारता-बंटन
frequency histogram,बारंबारता आयतचित्र
frequency of occurrence,घटना-बारंबारता
frequency polygon,बारंबारता-बहुभुज
frequency table,बारंबारता-सारणी
frustum,छिन्नक
frustum of a pyramid,पिरामिड का छिन्नक
frustum of a sphere,गोले का छिन्नक
full expansion,पूर्ण प्रसार
function," प्रकार्य , फलन, फंक्शन , अभिलक्षक (समूह)"
functional analysis,फलन विश्लेषण
fundamental,"मूल, मौलिक"
fundamental theorem,मूल प्रमेय
fundamental theorem of algebra,बीजगणित का मूल प्रमेय
galaxy,"गैलेक्सी, आकाश-गंगा"
Galois field,गाल्वा क्षेत्र
Galois group,गाल्वा समूह
gambler's ruin,जुआरी का वित्तनाश
game and move,खेल और चाल
game of chance,संयोग का खेल
game of dice,"पाशक क्रीड़ा, पासे का खेल"
games theory,खेल सिद्‌धांत
games with perfect recall,पूर्ण स्मरण वाले खेल
game value,खेल मान
gamma function,गामा-फलन
Gauss-Argand plane,गाउस-आरगाँ समतल
Gaussian curve,गाउस-वक्र
Gaussian elimination,गाउसीय निराकरण
Gaussian plane,गाउस-समतल
Gauss-Jordan reduction,गाउस-जोरदाँ समानयन
general case,व्यापक स्थिति
general convergence theorem,व्यापक अभिसरण प्रमेय
general equation,व्यापक समीकरण
general factor,व्यापक उपादान
general form,"सामान्य रूप, व्यापक रूप"
general formula,सामान्य सूत्र
general game,व्यापक खेल
general inference,सामान्य अनुमान
general integral,व्यापक समाकल
generalization,व्यापकीकरण
generalised associative law,व्यापकीकृत साहचर्य नियम
generalised continuum hypothesis,व्यापकीकृत सांतत्यक परिकल्पना
generalised convex function,व्यापकीकृत अवमुख फलन
generalised coordinates,व्यापकीकृत निर्देशांक
generalised eigen value problem,व्यापकीकृत आइगन मान समस्या
general convergence theorem,व्यापक अभिसरण प्रमेय
general equation,व्यापक समीकरण
general factor,व्यापक उपादान
general form,"सामान्य रूप, व्यापक रूप"
general formula,सामान्य सूत्र
general game,व्यापक खेल
general inference,सामान्य अनुमान
general integral,व्यापक समाकल
generalization,व्यापकीकरण
generalised associative law,व्यापकीकृत साहचर्य नियम
generalised continuum hypothesis,व्यापकीकृत सांतत्यक परिकल्पना
generalised convex function,व्यापकीकृत अवमुख फलन
generalised coordinates,व्यापकीकृत निर्देशांक
generalised eigen value problem,व्यापकीकृत आइगन मान समस्या
generic name,"वंश-नाम, वर्ग-नाम, जातिगत नाम"
genus of surface,पृष्ठ-वंशांक
geodesic,"अल्पान्तरी, जियोडेसिक"
geometrical,ज्यामितीय
geometrical construction,ज्यामितीय रचना
geometrical mean,गुणोत्तर माध्य
geometrical multiplicity,ज्यामितीय बहुगुणता
geometrical probability,गुणोत्तर प्रायिकता
geometrical progression,गुणोत्तर श्रेढ़ी
geometrical series,गुणोत्तर श्रेणी
geometrical shape,ज्यामितीय आकृति
geometrico arithmetic series,गुणोत्तर-समांतरीय श्रेणी
geometry,"ज्यामिति, रेखागणित"
global maximum,सार्वत्रिक अधिकतम
global property,सार्वत्रिक अल्पतमक गुणधर्म
global minimum,सार्वत्रिक न्यूनतम
global optimum,सार्वत्रिक इष्टतम
global property,सार्वत्रिक गुणधर्म
global saddle point,सार्वत्रिक पल्याण बिंदु
goodness of fit,समंजन-सुष्ठुता
grade correlation,कोटि-सहसंबंध
graded data,वर्गीकृत आंकड़े
gradient,"प्रवणता, ग्रेडिएन्ट"
gradient density,प्रवणता-घनत्व
gradient of line,रेखा की प्रवणता
gradient of velocity,वेग-प्रवणता
gradient vector,प्रवणता सदिश
gradient velocity,प्रवणता वेग
grading," कोटि निर्धारण , श्रेणीयन, श्रेणीकरण , तल संतुलन"
grading analysis,श्रेणीयन विश्लेषण
gram,ग्राम
Gram determinant,ग्राम सारणिक
Gram - Schmidt orthogonalization process,ग्राम- श्मिट लाम्बिकीकरण प्रक्रम
grand mean,महामाध्य
grand total,सर्वयोग
graph,"ग्राफ, आलेख, लेखाचित्र"
graphic,आलेखी
graphical,"आलेखी, ग्राफी"
graphical computation,आलेखी परिकलन
graphical construction,"ग्राफी रचना, आलेखी रचना"
graphical integration,आलेखीय समाकलन
graphical interpolation,आलेखीय अंतर्वेशन
graphical method,ग्राफी विधि
graphical representation,"आलेखी निरूपण, ग्राफी निरूपण"
graphic expression,"आलेखी व्यंजन, आलेखी"
graph paper,"ग्राफ-पेपर, वर्गांकित कागज, ग्राफ-पत्र"
gravitation,"गुरुत्वाकर्षण, गुरुत्व"
gravitational accelaration,गुरुत्वीय त्वरण
gravitational attraction,"गुरुत्वाकर्षण, गुरुत्वीय आकर्षण"
gravitational constant,गुरुत्वीय स्थिरांक
gravitational curvature,गुरुत्वीय वक्रता
gravitational force,गुरुत्वीय बल
gravitational pull,गुरुत्वीय कर्षण
gravity,गुरुत्व
great bear,सप्तर्षि
great circle,बृहत् वृत्त
great - circle plane,बृहत् वृत्त-तल
great circle route,बृहत् वृत्त-मार्ग
greatest common measure,महत्तम समापवर्तक
greatest element,महत्तम अवयव
greatest lower bound,महत्तम निम्न परिबंध
great number,बृहत् संख्या
great triangle,बृहत्त्रिभुज
Gregorian calendar,ग्रेगोरी कैलेन्डर
Gregorian correction,ग्रेगोरी संशोधन
Gregory formula,ग्रेगोरी सूत्र
Gregory - Newton formula,ग्रेगोरी-न्यूटन सूत्र
Gregory series,ग्रेगोरी श्रेणी
gross,"सकल, कुल (वि.) ग्रोस(सं.)"
gross correlation,सकल सहसंबंध
gross error,सकल त्रुटि
gross income,सकल आय
group," वर्ग, समूह , संघ"
group automorphism,समूह-स्वाकारिकता
