English,Hindi
cream,मलाई;बालाई;साडी;उत्तमांश;सत
creamery,मक्खन की दूकान
creamy,मलाईदार;उत्तम
crease,सिकुडन;चुन्नट का चिह्न;चुनना
create,रचना;सृष्टि करना;बनाना
creation,सृजन;रचना;उत्पत्ति;सृष्टि
creator,सृष्टिकर्त्ता;विधाता;सिरजनहार
creature,जीव;प्राणी;जन्तु;सृष्ट वस्तु
credence,विश्वास;प्रतीति;साख;पत
credible,विश्वसनीय;विश्वासयोग्य
credit,विश्वास;प्रतीति;मान;नामवरि
creditable,मान्य;सराहनीय;प्रशंसायोग्य
creditor,लेनदार;महाजन
credulity,सहज विश्वास;विश्वासशीलता
creed,धर्म मत;स्वीकृत मत
creek,खाडी;कोल
creep,रेंगना;धीरे धीरे चलना
cremate,शव जलाना;मृतदग्ध करना
cremation,दाह;मुर्दा जलाना;दाहकरण
crescent,वर्धमान;बढनेवाला
crest,चूडा;शिखा;मुकुट;चोटी;कलगी
crevice,दरार;दरेड;सूराख;छिद्र
crew,नाविकगण;मल्लाहों का समूह
crib,चरनी;नांद;पलना;खटोला
cricket,झींगुर;क्रिकेट
crier,ढिंढोरा पीटने वाला
crime,अपराध;अधर्म;दोष;पाप;पातक
criminal,दोषी;अपराधी;पापी;अपराध संबंधी
crimp,समेटना;सिकोडना;ऐंठना;मोडना
crimson,किरमिजी रंग
cringe,दण्डवत;झुक कर प्रणाम;चापलूसी
cripple,लंगडा मनुष्य;लंगडा करना
crisis,संकट;संकट का समय;सूक्षम काल
crisp,कुरकुरा;खस्ता;कडकीला;फुसफुसा
criterion,मानदण्ड;जांच;कसौटी;लक्षण
critic,आलोचक;समीक्षक;जांचनेवाला
critical,विवेचनात्मक;गुणदोष विवेचक
criticise,आलोचना करना;जांचना
criticism,आलोचना;समीक्षा;छिद्रान्वेषण
criticize,आलोचना करना;समीक्षा करना
critique,प्रत्यालोचना
crocodile,घडियाल;मगरमच्छ
croft,बाडा;मैदान;वाडी;चमन
crook,धोखेबाज;छली;लाठी
crooked,वक्र;टेढा मुडा हुआ;कुटिल
crop,खेती;शस्य;कृषि फल;पैदावार
cross,आडा;तिरछा;टेढा;दुःशील;चिडचिडा
crossing,चौराहा
crouch,दुबक के बैठना;बहुत नीचे झुकना
crow,कौआ;काक;काग;कांव कांव
crowbar,लोहदंड
crowd,भीड;समूह;रेला;ढेर;जमा करना
crown,शिर;शिखा;जूडा;चोटी;शिखर;ताज
crucial,आडा;कठिन;ठीक;प्रामाणिक
crucible,धरिया;कुठाली;कुल्हिया;सूपा
crucify,सूली पर चढाना;फांसी पर चढाना
crude,कच्चा;अजीर्ण;अपक्व;असिद्ध
cruel,निर्दयी;क्रूर;दयाहीन;कठोर
cruelty,निर्दयता;कठोरता;निष्ठुरता
cruise,समुद्री यात्रा
cruiser,क्रूजर
crumb,टुकडा;कण;किनका;रोटी का टुकडा
crumble,टुकडा
crummy,गुद्देदार;नर्म;पोला;गुद्दर
crunch,चबाना;दांत से कुचलना;चरमराहट
crusade,ईसाईयों का धर्मयुद्ध;क्रूजेड
cruse,छोटी कटोरी;प्याली;शीशी
crush,टक्कर;धक्का;दबाव;रेला;मुठभेड
crust,छिलका;परत;रोटी की पपडी
crusty,परतदार;छिलकेदार;चिडचिडा
crutch,लंगडे की लाठी;वैशाखी;सहारा
crux,क्रूश;कठिन बात;कठिनाई
cry,चिल्लाहट;पुकार;याचना;रोना
crypt,गुफा;खोह;गार
cryptic,छिपा हुआ;गुप्त;अप्रकट
cryptical,छिपा हुआ;गुप्त;अप्रकट
crystal,बिल्लौर;कच्चा हीरा;स्फटिक
crystalline,बिल्लौरी;निर्मल;स्वच्छ;मणिभीय
crystallise,दाने पारना
crystallize,दाने पारना
cub,बच्चासिंह
cube,घन;छः पहला;घन;तृतीय घात
cubic,घन के समान;घनाकार;घन संबंधी
cubicle,घन के समान;घनाकार;घन संबंधी
cuckoo,हाथ;हाथ भर;आध गज;कोयल;कोकिला
cucumber,ककडी;खीरा
cuddle,आलिंगन;छाती से लगाना;चिमटना
cue,संकेत;इंगित;सूत्र
cuff,थप्पड;चांटा;तमाचा;तमाचा मारना
culinary,पाक शाला संबंधी;रसोई का
cull,चुनना;बीनना
culminate,चोटी पर पहुंचना;ऊंचा होना
culmination,चरमबिन्दु;सिरा;पराकाष्ठा;शिखर
culprit,दोषी;अपराधी;पापी;अभियुक्त
cult,पंथ;धर्म;मत;संप्रदाय
cultivate,जोतना;खेती करना;सुधरना
cultivation,खेती;जोत;कृषि;सुधार;सभ्यता
culture,संस्कृति;सुधार;उन्नति;सभ्यता
culvert,पुलिया;पुल;पटी हुई मोरी
cumbersome,बोझीला;भारी;दुखदायक;गरु
cumbrous,बोझीला;भारी;दुखदायक;गरु
cumin,जीरा
cummin,जीरा
cumulative,जुडने वाला;बढता हुआ
cunning,चालाक;चतुर;सयाना;चतुराई
cup,प्याला;कटोरा;प्याले का पेय
curable,साध्य
curator,अध्यक्ष;रक्षक;रखवाला;निरीक्षक
curb,सांकल;कडी;अटकाव;रुकावट;रोक
curd,दही;खोया;मठ्ठा;फुटकी
cure,उपाय;औषधि;प्रतिकार;स्वास्थ्य
curiosity,जिज्ञासा;जानने की अभिलाषा
curious,जिज्ञासु;जानने का अभिलाषी
curl,लट;छल्ला;पेच;बालों को मोडना
curly,पेचदार;घूंघर बाल;छल्लेदार
current,प्रचलित;चलता हुआ;वर्तमान;जारी
curriculum,पाठ्यक्रम;अध्ययन सूची
currier,चमार;चमडा कमाने वाला;चर्मकार
curry,कढी;सालन;खरैरा;चमडा कमाना
curse,शाप;श्राप;धिक्कार;बला;विपद
cursed,अभिशप्त;शापग्रस्त;घृणायोग्य
cursory,सरसरी
curt,संक्षिप्त;कम;अल्प
curtail,काटना;कम करना;घटाना;छांटना
curtailment,काट छांट;संक्षेप
curtain,पर्दा;मसहरी;चिक;चिलमन
curvature,टेढापन;झुकाव;गोलाई;मोड;वक्रता
curve,वक्र वस्तु;वक्रता;वक्र रेखा
cushion,तकिया;गद्दी;मसनद;गद्दी लगाना
custard,कस्टर्ड
custodian,रक्षक;रखवाली करने वाला
custody,रखवाली;रक्षा;रक्षण;जमानत
custom,रीति;व्यवहार;रस्म;रिवाज;चाल
customary,रीति के अनूकुल;प्रचलित
customer,ग्राहक;खरीदने वाला
cut,चीरा;घाव;चोट;आकृति
cut-throat,प्राणघातक;वटमार
cutlery,चाकू;छुरी;इत्यादि
cutthroat,प्राणघातक;वटमार
cycle,साइकिल;बाइसिकिल;चक्र;दौर;युग
cyclone,चक्करदार आंधी
cylinder,नल;डण्डा;बेलन;मुंबा;कोटी;लाठ
cymbal,झांझ;मजीरा;करताल
cynic,चिडचिडा आदमी
cypress,सरो;सनौवर
dab,थप्पड;थपकी
dabble,पानी में खेलना;छींटे उडाना
dad,पिता;बाप
daddy,पिता;बाप
daffodil,डैफोडिल;फूल;कमल;कोकावेलि
dagger,छुरी;कटार;कृपाण;एक चिह्न
daily,दैनिक;प्रति दिन का;प्रति दिन
dainty,मृदु;रुचिर;सुहावना
dairy,दुग्धशाला
dais,चबूतरा;मंच
daisy,गुलबहार
dale,खड्ड;घाटी
dam,मातापशुओं की;जननी;बांध
damage,हानी;घटा;क्षति;बिगड जाना
damages,हरजाना;दण्ड;क्षतिपूर्ति;तावान
dame,गृहिणी;मालकिन;आर्या;स्त्री
damn,धिक्कारना;कोसना;शाप देना
damp,आर्द्र;जलसिक्त;नम;गीला;नमी
dance,नाच;नृत्य;पदन्यास;नृत्य करना
dandruff,सिर की फूसी;रूसी
dandy,बांका;छैला
danger,भय;विपत्ति;संकट;कंटक;आपत्ति
dangerous,भयानक;भयङ्कर;डरावना;अंटकमय
dangle,झूलना;लटकना;हिलाना
dank,गीला;नम;सीला
dapper,नाटा और चालाक;तेज;फुर्तीला
dapple,चितकबरा;रंगबिरंगा
dare,साहस करना;हिसाब बांधना
daring,साहस;बहादुर;शूर;वीरता;वीर
dark,अंधेरापन;अंधकार;ज्ञानशून्यता
darken,काला हो जाना;अंधेरा होना
darkness,अंधेरापन;अंधकार;धुंधलापन
darling,प्यारा;अतिप्रिय;लाडला
darn,टांका मारना;रफू करना
dart,बरछी;भाला;बल्लम;झपटना
dash,टक्कर;ठोकर;धावा;आघात;संघर्ष
dashing,तेज;उतावला;साहसी;दिखावटी
date,तिथि;मिति;तारीख;काल;समय
daub,लेपना
daughter,लडकी;बेटी
daunt,निरुत्साह करना;धमकाना;डराना
dawn,उषा;उषाकाल;प्रभात;सबेरा;तडके
day,दिन;दिवस;काल;नियत समय
daybreak,अरुणोदय;प्रातःकाल;सबेरा;तडके
daylight,दिन का उजाला;प्रकाश;स्पष्टता
daze,चौंधिया देना;घबरा देना
dazzle,चकाचौंध करना;तिरमिरा देना
deacon,एक छोटा पादरी
dead,मृत;प्राणहीन;मरा हुआ;मुर्दा
deadly,प्राणनाशक;घातक
deaf,बधिर;अकर्ण;बहरा
deafness,बहरापन;बधिरता
deal,भाग;बांट;परिमाण;मात्रा;अंश
dealer,व्यापारी;लेन देन करनेवाला
dealings,बर्ताव;व्यवहार;आचरण
dear,महंगे दाम पर;प्रिय;लाडला
dear_bought-experience,खोके सीखना
dearly,चाव से;प्रेम से;बडे मोल पर
dearth,कमी;दुर्लभता;अकाल
death,मृत्यु;मरण
death-bed,मृत्यु शय्या;मरणसेज
deathbed,मृत्यु शय्या;मरणसेज
debarment,निकाला जाना;निष्कासित
debase,घटाना;पदवी से उतारना
debatable,विवादास्पद;विवादनीय;तर्कनीय
debate,बहस;वाद विवाद;विवाद
debenture,उधार पत्र
debilitate,दुर्बल करना;कमजोर करना
debit,बही में लिखना
debris,ईंट;रोडा
debt,उधार;ऋण
debtor,देनदार;ऋणी;दिवालिया
decade,दशक;दहाई;दश
decapitate,वध करना;सिर काटना;सिर उतारना
decay,क्षय;घटती;नाश;अवसाद;सडना
decease,म्रृत्यु पाना;मरणना
deceased,मृत;मरा हुआ;स्वर्गवासी
deceit,कपट;छल
deceitful,छली;धोखे का;कपटी;भ्रमकारी
deceive,धोखा देना;छल करना;झांसा देना
decency,सुशीलता;सभ्यता;उपयुक्तता
decent,उचित;योग्य;उपयुक्त;सुघड;भला
decentralization,विकेन्द्रीकरण;अधिकार विभाजन
deception,धोखा;कपट;छल
deceptive,छली;कपटी;धोखे में डालनेवाला
decide,ठहराना;निश्चय करना
decided,निश्चित;ध्रुव;दृढ;निश्चय
decidedly,निस्सन्देह;निश्चित रूप से
decimal,दशक;दशमलव;दशांश सम्बन्धी
decipher,समझना;खोलना
decision,निश्चय करना;निर्णय;द्रृढता
decisive,अंत का;पूरा;अन्तिम;स्पष्ट
deck,नौका पृष्ठ;नाव का तल;पटाव
declaration,वर्णन;वचन;कथन;बयान;घोषणा
declare,प्रकट करना;कहना;वर्णन करना
decline,घटती;उतार;कमी;पतन
decompose,पृथक करना
decorate,संवारना;सजाना;श्रृंगार करना
decoration,सजावट;श्रृंगार;भूषण;शोभा
decorum,सभ्यता;औचित्य;युक्तता;शिष्टता
decoy,फंदा;लासा;दम;झांसा;लुभाना
decrease,कमी;घटती;न्यूनता;हानि;क्षति
decree,विधि;विधान;नियम;आज्ञप्ति
decrepit,निर्बल;जीर्ण;जराक्रांत;डोकरा
decry,अपवाद लगाना;निन्दा करना
dedicate,अर्पण करना;भेंट करना
dedication,भेंट;चढावा;अर्पण;समर्पण
deduct,घटाना;कम करना;मुजरा करना
deduction,कमी;वियोजन;घटाव;परिणाम;फल
deed,कर्म;क्रिया;काम;कृत्य
deem,सोचना;विचारना;अनुमान करना
deep,समुद्र;सागर;स्थायी;सुदृढ
deepen,गहरा करना;चटक करना
deeply,बहुत नीचा;गहरा;भारी
deer,हिरण;मृग
deface,बिगाडना;कुरूप करना;छील देना
defamation,अपयश;मानहानि;अपवाद;निंदा
defamatory,कलंक लगाने वाला;अपवादक
defame,निन्दा करना;कलंक लगाना
default,भूल;चूक;अपराध;अभाव;व्यतिक्रम
defeat,हार;पराजय;हराना;भगाना
defect,कमी;न्यूनता;अभाव;अपूर्णता;दोष
defection,कर्तव्य से च्युति;त्याग
defective,खराब;दोषपूर्ण;अधूरा;न्यून
defence,बचाव;रक्षा;आड;शरण;सफाई;उत्तर
defenceless,बचावरहित;रक्षाहीन;बे हथियार
defend,बचाना;रक्षा करना;सामना करना
defendant,प्रतिवादी;प्रत्यर्थी
defender,बचानेवाला;रक्षक
defensible,रक्षणीय;उत्तर देने योग्य
defensive,बचानेवाला;रोकनेवाला
defer,स्वीकार करना;मान लेना;टालना
deference,आदर;संमान;मर्यादा;अधीनता
defiance,ललकार;धमकी;चुनौती;छेडछाड
defiant,निडर;दिलेर;ललकारनेवाला;सावज्ञ
deficiency,कमी;घटी;न्यूनता;दोष;टोटा
deficient,टोटा भरना;घाटा उठाना
deficit,टोटा;कमी;घाटा;आय की कमी
define,सीमा बांधना;व्याख्या करना
definite,ठीक;निश्चित;निर्दिष्टि;स्पष्ट
definition,परिभाषा;बखान;व्याख्या
definitive,निश्चित;नियत;स्पष्ट;अन्तिम
deflect,मोडना;झुकाना;भूलना;भुलाना
deforestation,वननाशन;वन रहित करना
deform,कुरूप करना;बिगाडना
deformity,कुरूप;बिगडा;बेढंगा
defraud,दबा रखना
deft,निपुण;चतुर;चालाक
defunct,मृत;मरा हुआ;मरा हुआ मनुष्य
defy,सामना करना;तुच्छ समझना
degenerate,कुलाचार;भ्रष्ट;अपकृष्ट;अधम
degeneration,कुलाचार भ्रंश;नीचता;हेठापन
degradation,अधिकार भ्रंश;पदच्युति;निचाई
degrade,पदच्युत करना;घटाना;उतारना
degrading,अधोगती कारक;अपमानजनक;माननाशक
degree,पद;दर्जा;सीढी;स्थान
deity,ईश्वर;देवता;देव
deject,उदास करना;मन तोडना;जी तोडना
delay,विलम्ब;अटकाव;रोक;टालना
delectable,मनभावना;सुहावना;रुचिर
delegate,प्रतिनिधि
delete,मिटाना;निकालना;खुरचना;पोंछना
deliberate,सुविचारित;संकल्पित
deliberately,सावधानी से;चौकसी से;धीमेपन से
deliberation,विचार विमर्श;विचार;ध्यान
delicacy,सुकुमारता;बारीकी;मिठास;नजाकत
delicate,कोमल;सूक्ष्म;महीन;सुकुमार
delicious,स्वादिष्ट;मीठा;मधुर;रुचिकर
delight,आनन्द;मंगल;प्रसन्नता;हर्ष
delightful,सुखद;मनोहर;मंगलमय;सुहावना
delineate,अंकित करना
delineation,आकार;आलेखन;चित्र;ढांचा;वर्णन
delinquency,पापचरित्र;दोष;चूक;अपराध
delinquent,दोषी;अपराधी;कर्तव्य भ्रष्ट
delirious,बेहोश;भ्रांतचित्त;अचेत;बेसुध
delirium,मूर्छा;चित्तभ्रम;अचेतना
deliver,छोडना
delivery,प्रदान;सौंपना;अर्पण;मुक्ति
dell,छोटी घाटी;गढा;खड्ड
delta,एक यूनानी अक्षर;डेल्ट
delude,धोखा देना;बहकाना
deluge,पानी की बाढ;जल प्रलय
delusion,धोखा;कपट;माया;झांसा;भ्रम
delve,फावडे से खोदना
demand,चाह;पूछ;मांग;प्रश्न;प्रार्थना
demarcation,सीमांकन;सीमा रेखा;अवधी
demean,नीचा दिखाना;बर्ताव करना
demeanour,आचरण;चाल चलन;ढंग;बर्ताव
demise,मृत्यु;पट्टा;समर्पण;प्रदान
demobilise,छोड देना;अलग अलग करना
demobilize,छोड देना;अलग अलग करना
democracy,प्रजातंत्र राज्य;स्वराज्य
democrat,प्रजातंत्रवादी
demolish,ढाना;गिरा देना;तोडना
demolition,नाश;बिगाड;उजाड;गिराव;विध्वंस
demon,भूत;प्रेत;राक्षस;असुर;दानव
demoniac,भूतग्रस्त;आसुरी;पैशाची
demonstrate,दिखलाना;वर्णन करना;बतलाना
demonstration,प्रमाण;सिध्दि;दिखावा;निरूपण
demoralisation,नैतिक पतन;आचार बिगाडना
demoralise,निरुत्साह करना;आचार बिगाडना
demoralize,निरुत्साह करना;आचार बिगाडना
demur,आगा पीछा करना;विलम्ब करना
demure,शान्त;सलज्ज;विनीत;दिखलावटी
den,मांद;खोह;बिल;विवर;गुहा;अड्डा
dengue,डेंगू
denial,नकारना;अस्वीकार;नहीं;त्याग
denizen,निवासी;रहनेवाला;वासी
denominate,नाम रखना;पुकारना
denomination,नाम;उपाधि;वर्ग;कोटि
denominational,पंगत;जाति;सांप्रदायिक
denote,बतलाना;जताना;संकेत करना
denouement,निन्दा;अनिष्ट प्रकाशन;धमकी
denounce,दोषी ठहराना;धमकाना
dense,घना;मोटा;सघन;गाढा
dental,दंत्य
dentist,डेंटिस्ट
dentistry,दन्त चिकित्सा;दांत का इलाज
denude,उघाडना;निरावृत करना;नंगा करना
denunciation,निन्दा;धमकी;झिडकी
deny,बात काटना;खण्डन करना;नकारना
depart,से हटना;मुंह फेरना;चला जाना
department,विभाग;महकमा;अंग;भाग
departure,प्रस्थान;चचला जाना;मरण;अपक्रम
depend,भरोसा रखना;अवलम्बन करना
dependence,सहारा;लगाव;भरोसा;विश्वास
dependency,अधीनस्थ देश;अधीन राज्य
dependent,अधीन;अवलम्बित;मातहत;आश्रित
depict,चित्र खींचना;रंगना;वर्णन करना
deplete,खाली करना;खींच लेना
deplorable,शोकमय;विलापनीय;शोचनीय;बेचारा
deplore,शोक करना;विलाप करना;दुःख करना
deploy,फैलना;खोलना;विस्तार करना
deport,देश निकाला देना;चाल चलना
deportation,निर्वासन;देश से निकालना
depose,साक्षी देना;पदच्युत करना
deposit,धरोहर;जमा
depositary,धरोहर का स्थान;कोटी
deposition,पदच्युति;गद्दी से उतारना
depot,कोठी;गोदाम;डिपो;भण्डार
deprave,बिगाडना;नष्ट करना;ना
depravity,बुराई;नीचता;भ्रष्टता;दुराचार
deprecate,पश्चाताप करना;विरोध मे कहना
depreciate,मूल्य घटाना;हलका समझना
depreciation,घटाव
depress,दबाना;नींचा करना
depression,दबाव;उदासी;विषाद;ग्लानि;गढ्ढा
deprivation,अपहरण;वंचन;छोड;हरण;भ्रंश;हानि
deprive,ले लेना;छीन लेना;हटा लेना
depth,गहराई;गहराई का नाप
deputy,प्रतिनिधि;प्रतिपुरुष;सहायक
derail,पटरि से उतारना
derange,गोलमाल करना;उलट पलट करना
dereliction,त्याग
deride,हंसना;ठट्ठा मारना;हंसी उडाना
derision,ठट्ठा;ठठोली;उपहास
derive,निकालना;परिणाम निकालना
descend,उतरना;निकलना;बपौती में आना
descendant,सन्तान;वंश;वंशज
descent,उतार;ढाल;जन्म;कुल;आक्रमण;चढाई
describe,चित्र खींचना;वर्णन करना;कहना
description,व्याख्या;वर्णन;हाल;कथन;हुलिया
descriptive,वर्णनात्मक;वर्णनकारी;वाचक
desecrate,भ्रष्ट करना;अपवित्र करना
desert,योग्यता;गुण;वन;जंगल;मरुस्थल
deserter,भगोडा
desertion,त्याग;भाग जाना;सेना त्याग;छोड
deserve,योग्य होना;अधिकारी होना
deservedly,उचित रीत से;यथा योग्य
deserving,योग्य अधिकारी;पात्र
design,अभिप्राय;आशय;उद्देश्य;युक्ति
designate,नियुक्त किया हुआ
designation,पदवी;संकेत;नाम;उपाधि
designing,चालाक;धूर्त;कपटी
desirable,वांछित;स्पृहणीय;मनोहर;मनभाउ
desire,इच्छा;लालसा;मनोकामना;अभिलाषा
desist,रुकाव;विराम;निवृत्ति;रुक जाना
desk,डेस्क;ढलवां मेज;लेखनाधार
desolate,उजाड;निर्जन;सुनसान;उजाडना
desolation,नाश;उजाड;ध्वंस;सुनसान अवस्था
despair,निराशा;नैराश्य;विषाद
desperate,निराश;आशाहीन;बडे जोखिम का
desperation,निराशा;साहसिकता
despicable,घृणित;नीच;अधम;घृणायोग्य
despise,घृणा करना;दूर भागना
despite,बैर;प्रतिरोध;विरोध;द्वेषीना
despondent,आशाहीन;निराश
despot,मनमौजी राजा;स्वेच्छाचारी शासक
despotic,मनमौजी;स्वच्छंद;स्वतंत्र
despotism,निरंकुश शक्ति;स्वेच्छाचारिता
dessert,डेजर्ट;मिठाई
destination,अभिप्राय;उद्देश्य
destine,ठहराना;नियुक्त करना
destiny,होनहार;कर्म;प्रारब्ध;भावी
destitute,रहित;हीन;विहीन;कंगाल;बेचारा
destroy,ढा देना;नष्ट करना;नाश करना
destruct,तोड फोड करना;सत्यानाश करना
destruction,तोड फोड
destructive,हानिकारक;घातक;उजाड;विनाशकर
detach,पृथक करना;खोलना;छुडाना
detached,अलग;पृथक;असंलग्न;बेलगाव
detachment,वियोग;विच्छेद;पृथकता
detail,व्यौरा;विस्तारपूर्वक वर्णन
detailed,व्यौरेवार;पूरा;सविस्तार
detain,रोक रखना;नजरबन्द करना
detect,देख पाना;पकडना;पता लगाना
detection,खोज;अनुसन्धान;पता लगाना
detective,जासूसी;भेदिया;खुफिया
detention,रोक;विलम्ब;दाब रखना;छेकाव
deter,रोकना;मना करना;हटा
detergent,शोधनी;साफ करनेवाला
deteriorate,बिगडना;नष्ट होना
deterioration,बिगाड;भ्रष्टता;क्षय;अवनति
determinant,नियुक्त करनेवाला;अवधारक
determination,निश्चय;संकल्प;विचार;अभिप्राय
determine,संकल्प करना;ठानना;स्थिर करना
determined,दृढ;पक्का;निश्चित;दृढ संकल्प
deterrent,डराकर रोकने वाला;धमकानेवाला
detest,तुच्छ जानना;घृणा करना
dethrone,गद्दीपर से उतारना
detonate,दागना;जोर से भडकना
detract,कलंकित होना;घटना;कम होना
devastate,उजाडना;लूटना;नष्ट करना
devastation,नाश;उजाड;ध्वंस;विनाश
develop,खोलना
development,सुलझाव;विस्तार;उभार;उन्नति
deviate,भटकना;चूकना;फिर जाना
deviation,विचलन
device,उपाय;चालाकी;युक्ति;आविष्कार
devil,भूत;पिशाच;शैतान
devilish,पिशाच सदृश;दुराचारी;दुष्ट
devious,भटका हुआ;भूला हुआ;टेढा;वक्र
devise,उत्तरदान;इच्छापत्र द्वारा दान
devoid,रहित;शून्य;विहीन
devote,ठहराना;भेंट करना;चढाना
devoted,प्राणार्पित;लवलीन;आसक्त
devotion,प्राणार्पण;पूजा;अनुराग;उपासना
devour,खा जाना;भकोसना;हडप करना
devout,तपस्वी;भक्त;धार्मिक;धर्मनिष्ठ
dew,ओस;तुषार;ओस से भिगोना
dexter,दाहिना;सव्य;दक्षिण
diabetes,बहुमूत्ररोग;मधुमेह
diabetic,मधुमेह संबंधी;बहुमूत्र संबंधी
diabolical,दुष्ट;पैशाचिक;पापिष्ठ
diagnosis,रोग की पहचान;रोग का निर्णय
diagonal,कर्णरेखा
diagram,चित्र;रेखा चित्र;आकृति;सांचा
dial,डायल;धूप घडी;घडी का चेहरा
dialect,देशी भाषा;बोली;बोलने का ढंग
dialogue,बातचीत;प्रश्नोत्तर
diameter,अधकट;चौडाई;मोटाई;व्यास
diametrically,ठीक;बिलकुल;बिलकुल विरुद्ध
diamond,हीरा;हीरक
diaper,कामदानी
diarrhea,दस्त;संग्रहणी;पेट चलना
diary,दिनचर्या पत्रिका;रोजनामचा
diatribe,कठोर समालोचना;विवाद;आक्षेप
dice,पांसा;पांसे से खेलना
dictate,आज्ञा;आदेश;आज्ञा देना;लिखाना
dictation,श्रुतलेख;आज्ञापन;लिखाना;इमला
dictator,लिखानेवाला;डिक्टेटर;आदेशक
diction,बोली भाषा;ढंग;बोलबाल
dictionary,कोष;अभिधान;शब्दसागर
dictum,वचन;कहावत;वर्णन;आदेश
die,पांसा;ठप्पा;मरना;दम निकलना
diet,भोजन;आहार;पथ्य
differ,भिन्न होना;अन्तर होना
difference,भेद;मतिभेद;भिन्नता;असादृश्य
different,अलग;पृथक;भिन्न;न्यारा;असमान
differential,अंतर संबन्धी;भेदकर;विशेषक
differentiate,विभेद जान लेना;अन्तर निकालना
difficult,कठिन;गूढ;दुःसाध्य;दूभर;असुगम
difficulty,कठिनता;कठिनाई;दुःसाध्यता
diffuse,फैला हुआ;छितरा हुआ;बिखरा हुआ
diffusion,फैलाव;छितराव;व्यापन
dig,खुदाई;खोदना;कुदेरना;गोडना
digest,नीति का समूह;गुटका;व्यवस्था
digestion,पचाव;पाचक;परिपाक
digestive,पाचक;पाचनसंबंधी
digger,खोदनेवाला मनुष्य
digit,पौन इंच;अंगुल भर
dignify,सत्कार करना;सम्मान करना
dignitary,उच्च पदवी वाला;बडा पादरी
dignity,बडप्पन;मर्यादा;पद;पदवी;गौरव
dike,खाईना;नालाना;नहरना;बांधना
dilapidate,क्षय होना;नष्ट होना;ढह जाना
dilemma,दुविधा;चिन्ता;भंवरजाल;विकल्प
diligence,परिश्रम;यत्न की धुन;उद्योग
diligent,परिश्रमी;उद्योगी;सावधान
dilute,पतला करना;घटाना
dilution,पतलापन;हलकापन
dim,धुंधला;मन्द;मलिन;अस्पष्ट
dimension,आयाम;परिमाण;घाता;लम्बाई;चौडाई
diminish,घटना;कम होना;घटाना;कम करना
diminution,चटी;कमी
diminutive,छोटा;थोडा;नन्हा;लघु संज्ञा
din,शोरगुल;कोलाहल;धूमधाम;झंकार
dine,खाना
ding,घंटे का शब्द;टन टन;टनटनाना
dingy,काला;मैला;गंदा;मलिन
dinner,रात का भोजन;भोज;भोजनोत्सव
dint,घूंसा;मार;आघात;चोट;बल
diocese,धर्मप्रदेश;धर्माध्यक्ष का देश
dip,डुबकी;बोरना;अवगाह;अवपात
diphtheria,डिप्थीरिया
diploma,डिप्लोमा;अधिकार दायक पत्र;सनद
diplomacy,राजनय;राजदूत व्यवहार
diplomatic,राजनयिक;नीति संबंधी
direct,सीधा;सरल;भोला भाला;प्रत्यक्ष
direction,लक्ष्य;निशाना;शासन;प्रशासन
director,अनुशासक;आदेश करनेवाला
directorate,निदेशालय
directory,डायरेक्टरी
dirigible,परिचालन शील;चलाये जाने योग्य
dirk,कटार;छुरा
dirt,मैल;कूडा;गंदगी
dirty,मैला;गन्दा;मलिन;कुत्सित
disability,असामर्थ्य;अयोग्यता;अक्षमता
disable,बलहीन करना;असमर्थ करना
disadvantage,घाटा;टोटा;हानि;अलाभ
disaffection,वैर;विराग;विरक्ति;विद्रोह
disagree,असम्मत होना
disagreeable,अप्रिय;प्रतिकूल;अनिष्ट
disagreement,अन्तर;वैर;विरोध;अभवन;झगडा
disallow,आज्ञा न देना;निषेध करना
disappear,अलोप होना;अदृश्य होना
disappearance,अन्तर्धान;अदर्शन;भाग जाना
disappoint,निराश करना;दिल तोडना
disappointment,आशाभंग;निराशा;विफल करना
disapproval,असम्मति;अस्वीकार;अप्रीति
disapprove,अस्वीकार करना;नापसन्द करना
disarm,हथियार छीन लेना
disarmament,निशःस्त्रीकरण
disarray,उलट पलट;गडबड;क्रमभंग
disaster,अभाग्य;विपत्ति;दैवागत व्यथा
disastrous,अभागा;अमंगलिक;दुःखद
disavow,अपना न कहना;न मानना
disband,सेनाभंग करना;तितर बितर करना
disbelief,अविश्वास
disbelieve,विश्वास न करना;न मानना
disburse,दे डालना;व्यय करना;उठा देना
disbursement,व्यय;उठाव;खर्च
disc,बिंब
discard,छुडा देना;निकाल देना
discern,देखना;नापना;पहिचानना;विवारना
discerning,विवेकी;ज्ञानी;जळी समझनेवाला
discharge,भार उतारना;पदच्युति;छुटकारा
disciple,छात्र;विद्यार्थी;शिष्य;चेला
disciplinarian,नियम पालन करनेवाला;नियमकर्ता
discipline,युद्ध शिक्षा;युद्धाभ्यास
disclaim,न मानना;छोडना;मुकरना
disclose,खोलना;उधारना;प्रकट करना
disclosure,प्रकाश;प्रकटीकरण;प्रकाशन;भेद
discolour,धब्बा डालना;रंग बदलना
discomfort,दुःख;पीडा;विकलता;कष्ट
disconcert,घबराना;व्याकुल करना;वृथा करना
disconnect,अलग करना;सम्बन्ध तोडना
discontent,असन्तुष्ट;अधीर;अप्रसन्न;निराश
discontinue,छुडाना;रोकना;रुकना;बन्द होना
discordant,विपरीत;विरुद्ध;बेताल;बेसुर
